symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
BROCCOLI,16,48,26,10.0,,82,41.5,1.72,121.2,-24.8,221.2
BROCCOLI,16,48,40,10.0,,80,41.2,1.76,120.9,-25.8,220.9
DYDX,10,48,52,8.0,,270,40.4,1.31,120.0,-52.1,220.00000000000003
MUBARAK,10,24,26,10.0,20.0,146,39.0,1.3,117.1,-32.9,217.10000000000002
DYDX,10,48,40,10.0,20.0,287,41.8,1.31,115.1,-39.3,215.09999999999997
POPCAT,16,60,52,10.0,20.0,94,42.6,1.41,113.4,-23.0,213.40000000000003
PLUME,16,60,26,8.0,20.0,70,45.7,1.6,106.8,-26.7,206.8
POPCAT,16,60,40,8.0,20.0,100,41.0,1.29,105.2,-33.2,205.20000000000002
DYDX,10,48,40,10.0,,287,41.8,1.3,104.1,-42.0,204.1
PLUME,16,60,52,8.0,20.0,64,46.9,1.7,103.8,-20.4,203.8
LRC,16,60,40,10.0,20.0,239,36.8,1.2,102.0,-41.6,202.0
LRC,16,60,52,8.0,20.0,227,37.0,1.16,101.6,-51.4,201.6
POPCAT,16,60,52,8.0,,94,42.6,1.28,101.0,-32.7,200.99999999999997
PEAQ,16,48,52,8.0,10.0,71,45.1,1.75,98.4,-18.0,198.4
BROCCOLI,16,48,52,10.0,,74,40.5,1.69,98.0,-22.4,198.0
MUBARAK,10,24,26,10.0,12.0,147,40.1,1.27,97.2,-32.9,197.2
PEAQ,16,48,52,8.0,15.0,69,42.0,1.63,94.1,-22.4,194.1
PEAQ,16,48,52,10.0,12.0,71,43.7,1.84,93.5,-16.0,193.5
MUBARAK,10,24,52,10.0,20.0,126,38.9,1.27,90.3,-27.8,190.3
